pu_discovery_group,n_sessions,mean_pu_score,median_pu_score,mean_stability,known_positive_rate,viewer_med_median,chat_mean_median,zero_rate_median,gap_med_median
known_positive,111,0.9979530557849943,0.9993732796258085,1.0,1.0,161.0,1.576271186440678,0.4615384615384615,4.592434353001257
pu_hidden_candidate,93,0.9870874598902616,0.9889371371121044,1.0,0.0,189.0,4.016393442622951,0.1885245901639344,3.982792076316353
pu_watchlist,92,0.890189460813222,0.8965228150457915,1.0,0.0,275.75,5.8347107438016526,0.1065573770491803,3.726287532324558
pu_likely_normal,1658,0.14119835087264448,0.027040067290277317,0.09966492427288567,0.0,671.5,28.167659212445308,0.0,3.2877465791318454
