model,fold,pr_auc,roc_auc,precision_at_pos_k,recall_at_pos_k,precision_at_0.5,recall_at_0.5,f2_at_0.5
logistic_balanced,1,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.9913793103448276
logistic_balanced,2,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9821428571428571
logistic_balanced,3,0.9859006734006734,0.9990145355999015,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
logistic_balanced,4,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9821428571428571
logistic_balanced,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logistic_balanced,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logistic_balanced,7,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,0.990990990990991
logistic_balanced,8,1.0,1.0,1.0,1.0,0.88,1.0,0.9734513274336283
logistic_balanced,9,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,0.990990990990991
logistic_balanced,10,1.0,1.0,1.0,1.0,0.88,1.0,0.9734513274336283
logistic_balanced,11,0.9946313799621928,0.9996455576559546,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
logistic_balanced,12,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9821428571428571
logistic_balanced,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logistic_balanced,14,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9821428571428571
logistic_balanced,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gaussian_nb,1,0.9583333333333334,0.998641304347826,0.9565217391304348,0.9565217391304348,0.30666666666666664,1.0,0.688622754491018
gaussian_nb,2,0.9962121212121212,0.9997536338999753,0.9545454545454546,0.9545454545454546,0.4074074074074074,1.0,0.7746478873239436
gaussian_nb,3,0.8514420238570752,0.9700665188470067,0.9090909090909091,0.9090909090909091,0.4375,0.9545454545454546,0.7720588235294118
gaussian_nb,4,0.95061127936622,0.998460211874846,0.9545454545454546,0.9545454545454546,0.3492063492063492,1.0,0.7284768211920529
gaussian_nb,5,1.0,1.0,1.0,1.0,0.3548387096774194,1.0,0.7333333333333333
gaussian_nb,6,0.9607058395488448,0.9744801512287334,0.9565217391304348,0.9565217391304348,0.43137254901960786,0.9565217391304348,0.7692307692307693
gaussian_nb,7,0.9758266321384762,0.9982754372998276,0.8636363636363636,0.8636363636363636,0.3548387096774194,1.0,0.7333333333333333
gaussian_nb,8,0.9132081686429512,0.9971667898497166,0.9090909090909091,0.9090909090909091,0.3384615384615385,1.0,0.7189542483660131
gaussian_nb,9,0.9447601216479935,0.9981522542498152,0.9090909090909091,0.9090909090909091,0.41509433962264153,1.0,0.7801418439716312
gaussian_nb,10,0.8702865612648221,0.9955533596837944,0.8636363636363636,0.8636363636363636,0.3188405797101449,1.0,0.7006369426751592
gaussian_nb,11,0.910540502695512,0.9968100189035917,0.9130434782608695,0.9130434782608695,0.3333333333333333,1.0,0.7142857142857143
gaussian_nb,12,0.9884283832109919,0.9993224932249322,0.9090909090909091,0.9090909090909091,0.3492063492063492,1.0,0.7284768211920529
gaussian_nb,13,0.9588932806324111,0.9743779255974379,0.9545454545454546,0.9545454545454546,0.5121951219512195,0.9545454545454546,0.813953488372093
gaussian_nb,14,0.9288583890856618,0.9972283813747229,0.9090909090909091,0.9090909090909091,0.34375,1.0,0.7236842105263158
gaussian_nb,15,0.9058762383861199,0.9969120553359684,0.9090909090909091,0.9090909090909091,0.3548387096774194,1.0,0.7333333333333333
decision_tree_depth3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,3,0.9571029993024879,0.9772727272727273,0.9545454545454546,0.9545454545454546,1.0,0.9545454545454546,0.963302752293578
decision_tree_depth3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,6,0.9590792838874681,0.9782608695652174,0.9565217391304348,0.9565217391304348,1.0,0.9565217391304348,0.9649122807017544
decision_tree_depth3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
decision_tree_depth3,11,0.9590792838874681,0.9782608695652174,0.9565217391304348,0.9565217391304348,1.0,0.9565217391304348,0.9649122807017544
decision_tree_depth3,12,0.9166666666666666,0.997289972899729,0.9090909090909091,0.9090909090909091,0.9166666666666666,1.0,0.9821428571428571
decision_tree_depth3,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
