gmm_unsup_cluster,n_sessions,silver_rate,viewer_med_median,chat_mean_median,unique_mean_median,zero_rate_median,zrun_max_median,gap_med_median,gap_max_median
5,95,0.9263157894736842,176.0,1.4166666666666667,1.0256410256410255,0.4916666666666666,9.0,4.770684624465665,5.44673737166631
6,244,0.0778688524590164,173.0,5.099802371541502,3.3291898116786345,0.1232038048977939,3.0,3.705993893639241,5.265274173984107
4,74,0.05405405405405406,666.5,11.170833333333334,7.0041322314049586,0.06639118457300269,2.0,4.385093199121444,6.553604564816325
0,384,0.0,420.75,12.782142199300054,8.325023709524455,0.0163934426229508,1.0,3.543080870318076,6.049730673985348
1,254,0.0,4229.0,166.09559847711023,85.4297520661157,0.0,0.0,3.4938413184262647,5.549169348257
3,866,0.0,694.75,33.60529339666003,19.233695652173914,0.0,0.0,3.1161561407557645,5.001706034945599
2,37,0.0,1499.5,71.20754716981132,36.24528301886792,0.0188679245283018,1.0,2.9299231042149643,6.880384082186005
