session_key,run_id,broad_no,user_id,category_id,discovery_group,hidden_candidate_priority,cluster_number,silver_suspicious,normal_seed,gmm_unsup_cluster,gmm_max_prob,hdbscan_unsup_cluster,reason_codes,score_rule_directional,rule_mismatch_pct,normal_anomaly_pct,density_anomaly_pct,score_hdbscan_noise,unsupervised_hidden_score,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end
105_18833352,105,18833352,a3c5623862d0d1dda383f5efbc39c6f4,talk,normal_low_priority,low,0,0,True,3,0.9999616242758242,1,none,0.36171954964176056,0.3679631525076766,0.34390992835209827,0.3106448311156602,0.0,0.3112845445240532,123.5,135.0,16.75,10.607142857142858,0.0,0,2.201177167089776,4.0943445622221,28,2026-05-11 15:00:00,2026-05-11 16:49:00
154_19064093,154,19064093,5c897b3e639045ca6e314bbaff991f73,승리의 여신: 니케,normal_low_priority,low,0,0,True,3,0.999913491036388,1,none,0.433367451381781,0.49129989764585463,0.24923234390992835,0.25767656090071644,0.0,0.3107215967246673,415.5,472.0,16.631147540983605,11.21311475409836,0.0,0,3.270835563798912,4.877738620629824,122,2026-05-24 17:00:00,2026-05-24 19:01:00
147_19033185,147,19033185,1ad5aa0f6c6741b072528fad5e5e76b1,리그 오브 레전드,normal_low_priority,low,0,0,True,1,0.9999999999837517,-1,hdbscan_noise,0.1979529170931423,0.05527123848515865,0.3286847492323439,0.38152507676560904,1.0,0.31068961105424775,2982.0,4567.0,202.396694214876,118.32231404958678,0.0,0,3.0241533694635665,4.6491870714048655,121,2026-05-22 20:00:00,2026-05-22 22:00:00
145_19028748,145,19028748,e2640468861f80d658873c25dc69e32b,talk,normal_low_priority,low,0,0,True,3,0.9999578945985219,1,none,0.356806550665302,0.3587512794268168,0.3416069600818833,0.32778915046059365,0.0,0.31068321392016374,141.0,160.0,18.66393442622951,9.975409836065571,0.0,0,2.0724728723637424,3.982792076316353,122,2026-05-22 15:00:00,2026-05-22 17:01:00
135_18978049,135,18978049,22a8aa0dda121327692faeae44758efa,리그 오브 레전드,normal_low_priority,low,0,0,True,3,0.9999247583081872,1,none,0.42645854657113613,0.4836233367451382,0.2629222108495394,0.24616171954964178,0.0,0.3105232855680655,375.0,412.0,18.024590163934427,10.008196721311476,0.0,0,3.175068746854694,4.612642200826792,122,2026-05-19 20:00:00,2026-05-19 22:01:00
159_19086699,159,19086699,29f20622463916fa48ad735057b145ce,마인크래프트,normal_low_priority,low,0,0,False,3,0.9994826149238819,1,none,0.3248720573183214,0.2922210849539406,0.3288126919140225,0.46443193449334697,0.0,0.3102482088024565,1479.0,2473.0,57.85123966942149,35.66942148760331,0.0,0,3.6648428762856953,6.1498917837025004,121,2026-05-25 20:00:00,2026-05-25 22:00:00
136_18975812,136,18975812,034449b176b163a705b9c0e81f7a51c2,리그 오브 레전드,normal_low_priority,low,0,0,False,3,0.999804406158462,1,none,0.36693961105424766,0.38382804503582396,0.27865916069600816,0.3879222108495394,0.0,0.3094549641760491,1222.5,1373.0,36.98039215686274,22.725490196078432,0.0,0,3.595289123371861,6.262445427836352,102,2026-05-19 23:00:00,2026-05-20 00:41:00
151_19053401,151,19053401,4325b1d5bbc321fad3042306646e2e50,마인크래프트,normal_low_priority,low,0,0,True,1,1.0,-1,hdbscan_noise,0.16560900716479018,0.017400204708290685,0.35222620266120774,0.39969293756397134,1.0,0.3093078300921187,2860.0,3759.0,239.2396694214876,94.70247933884298,0.0,0,2.582680318432769,3.843555206150685,121,2026-05-23 20:00:00,2026-05-23 22:00:00
160_19090009,160,19090009,b68af124ae2f1743a1dcbf5e2ab41e0b,UNKNOWN_CATEGORY,normal_low_priority,low,0,0,True,3,0.9843051551499432,-1,hdbscan_noise,0.1962128966223132,0.05322415557830092,0.13843398157625383,0.7093142272262026,1.0,0.3089431934493347,1190.0,1557.0,105.1818181818182,54.98347107438016,0.0,0,2.600703587472755,3.6969116258112,121,2026-05-25 23:00:00,2026-05-26 01:00:00
157_19082794,157,19082794,3ff956022e65b1b1fd708a9bfdfdbb13,talk,normal_low_priority,low,0,0,True,3,0.9999896820475983,-1,hdbscan_noise,0.19672466734902766,0.05373592630501536,0.37141760491299897,0.29912998976458544,1.0,0.3086297338792221,268.5,287.0,68.20588235294117,36.4264705882353,0.0,0,1.4208548953186817,3.725693427236653,68,2026-05-25 15:00:00,2026-05-25 16:07:00
102_18811660,102,18811660,effe648202c8f7fba081c2f2aeea1979,리그 오브 레전드,normal_low_priority,low,0,0,True,1,0.999999993315656,-1,hdbscan_noise,0.17082906857727737,0.022517911975435005,0.3272773797338792,0.43014329580348004,1.0,0.30845701125895597,1872.0,2384.0,166.56198347107437,97.96694214876032,0.0,0,2.572066825230401,4.117099565215764,121,2026-05-10 17:00:00,2026-05-10 19:00:00
46_18448025,46,18448025,dcf7dbd0f97a33551d9abb68ee88fe0b,블루 아카이브,normal_low_priority,low,0,0,True,3,0.9995213214491204,1,none,0.3546571136131013,0.3523541453428864,0.23733367451381782,0.5092118730808598,0.0,0.3082331115660184,610.0,941.0,25.91891891891892,19.5945945945946,0.0,0,3.1229940531649185,3.905850146321065,37,2026-04-19 18:24:00,2026-04-19 19:00:00
110_18852978,110,18852978,21e1510cc1cf976ed33fa35d48837495,메이플스토리,normal_low_priority,low,0,0,True,3,0.9999318119249263,1,none,0.42824974411463657,0.4851586489252815,0.25742067553735926,0.24002047082906858,0.0,0.30790685772773796,308.0,393.0,15.165289256198347,10.289256198347108,0.0,0,3.0945328582980847,4.870095271317256,121,2026-05-12 17:00:00,2026-05-12 19:00:00
166_19120488,166,19120488,1e09ba347161a434e40b8245e0bf3cb3,벅샷 룰렛,normal_low_priority,low,0,0,True,3,0.9999553792517624,1,none,0.2732855680655067,0.18986693961105425,0.43730808597748205,0.441914022517912,0.0,0.3078940634595701,149.0,187.0,34.66990291262136,16.9126213592233,0.0,0,1.4775857813292976,4.304065093204169,103,2026-05-27 17:19:00,2026-05-27 19:01:00
148_19034965,148,19034965,dff5fc9706f8260682ce6eb93acaad64,스타크래프트 : 리마스터,normal_low_priority,low,0,0,False,3,0.9995902648440746,1,none,0.34421699078812695,0.3295803480040942,0.2757164790174002,0.47978505629477997,0.0,0.30781090071647904,1378.5,1611.0,45.4344262295082,28.795081967213115,0.0,0,3.6019618595641134,6.511002111475994,122,2026-05-22 23:00:00,2026-05-23 01:01:00
152_19049164,152,19049164,fc00d47a77ed2d1156cd5997eba30310,리그 오브 레전드,normal_low_priority,low,0,0,False,3,0.9998169146171872,1,none,0.4044012282497441,0.4518935516888434,0.23272773797338792,0.34083930399181167,0.0,0.30778531218014327,735.0,888.0,27.057377049180328,17.33606557377049,0.0,0,3.627948936549677,5.520126694849109,122,2026-05-23 23:00:00,2026-05-24 01:01:00
135_18980573,135,18980573,feb20a676694b1163fed010da0848303,talk,normal_low_priority,low,0,0,True,1,0.9999907744523692,-1,hdbscan_noise,0.17574206755373595,0.025076765609007165,0.3023285568065507,0.4628966223132037,1.0,0.307171187308086,3216.0,3331.0,197.9256198347108,110.5785123966942,0.0,0,2.7151238889091545,4.722549099594117,121,2026-05-19 20:00:00,2026-05-19 22:00:00
156_19067256,156,19067256,b5ed5db484d04faf4d150aedd362f34b,마인크래프트,normal_low_priority,low,0,0,True,1,0.999999165627025,-1,hdbscan_noise,0.18833162743091098,0.04247697031729785,0.2837768679631525,0.4639201637666326,1.0,0.30697287615148416,1511.0,1679.0,132.06666666666666,52.4,0.0,0,2.515517962106298,3.609530949869876,45,2026-05-24 23:00:00,2026-05-24 23:44:00
108_18841976,108,18841976,a0e26a105c3b5ac212d5e0ca40c5c747,리그 오브 레전드,normal_low_priority,low,0,0,True,3,0.9998875576111348,1,none,0.42947799385875135,0.4874616171954964,0.22914534288638688,0.2801944728761515,0.0,0.3068513306038894,542.0,604.0,19.188524590163933,13.0327868852459,0.0,0,3.435575978092852,5.196653712771536,122,2026-05-11 23:00:00,2026-05-12 01:01:00
154_19065666,154,19065666,9199eb6eb3dea874f47bbb35bd1dfee2,이터널 리턴,normal_low_priority,low,0,0,True,3,0.9999154626337957,1,none,0.41320368474923236,0.4646878198567042,0.2482088024564995,0.2850562947799386,0.0,0.30652507676560903,505.5,532.0,19.62,10.68,0.0,0,3.1352924372850537,5.5073619934827445,50,2026-05-24 17:00:00,2026-05-24 17:49:00
150_19051065,150,19051065,5887abd2585d98241277a04f7a1d3609,talk,normal_low_priority,low,0,0,True,3,0.9999621419243135,1,none,0.3831115660184238,0.4155578300921187,0.29887410440122825,0.28096212896622313,0.0,0.30624360286591606,169.5,198.0,16.05263157894737,8.68421052631579,0.0,0,2.3929813983808854,4.4942386252808095,38,2026-05-23 17:53:00,2026-05-23 18:32:00
138_18995060,138,18995060,e9c11510c1c6097a20b92ebcb289b26a,메이플스토리,normal_low_priority,low,0,0,True,1,0.999999903065772,-1,hdbscan_noise,0.16837256908904813,0.02098259979529171,0.3203684749232344,0.4337256908904811,1.0,0.30621801432958035,2370.0,2980.0,187.5537190082645,105.0,0.0,0,2.5839975524322307,3.967075183798108,121,2026-05-20 17:00:00,2026-05-20 19:00:00
161_19098286,161,19098286,f5feedab25060a675ed62f3348e625cf,talk,normal_low_priority,low,0,0,True,3,0.9999508538307889,1,none,0.3556806550665302,0.35516888433981575,0.32318321392016375,0.34339815762538384,0.0,0.30610286591606956,147.0,169.0,18.459016393442624,10.131147540983608,0.0,0,2.072840857648484,3.721669276936927,122,2026-05-26 15:00:00,2026-05-26 17:01:00
160_19092900,160,19092900,6fccf2c08f2e9f801fc3152a8923e1c2,포켓몬 챔피언스,normal_low_priority,low,0,0,False,3,0.9995418825671519,1,none,0.3561924257932446,0.3556806550665302,0.2569089048106448,0.4575230296827022,0.0,0.30591095189355166,1403.0,1481.0,38.85245901639344,28.172131147540984,0.0,0,3.62841525584917,5.844268792289402,122,2026-05-25 23:00:00,2026-05-26 01:01:00
138_18995315,138,18995315,4220f38359485fa2530392b36cb62e31,이터널 리턴,normal_low_priority,low,0,0,True,3,0.9999315820447363,1,none,0.41074718526100307,0.46084953940634593,0.25473387922210844,0.27686796315250767,0.0,0.3058277891504606,268.0,309.0,14.959016393442624,11.008196721311476,0.0,0,2.9367668866330616,4.990432586778736,122,2026-05-20 17:00:00,2026-05-20 19:01:00
144_19010270,144,19010270,8a59b34b46271960c1bf172bb0fac758,림월드,normal_low_priority,low,0,0,True,3,0.9998778539018548,1,none,0.4242067553735926,0.477482088024565,0.2242835209825998,0.29989764585465706,0.0,0.3055974923234391,558.0,600.0,21.237704918032787,12.549180327868852,0.0,0,3.4208827063774776,5.6185876285929695,122,2026-05-21 23:00:00,2026-05-22 01:01:00
108_18839257,108,18839257,6bd0bb97d31365e7834d8113bb01d889,스타크래프트 : 브루드 워,normal_low_priority,low,0,0,True,3,0.9998792463684435,1,none,0.42292732855680654,0.4759467758444217,0.22402763561924255,0.30220061412487204,0.0,0.3054311668372569,537.0,587.0,20.868852459016395,12.352459016393444,0.0,0,3.388703392740245,5.636573724962751,122,2026-05-11 23:00:00,2026-05-12 01:01:00
154_19067426,154,19067426,8fd39bb8de623317de90654718638b10,talk,normal_low_priority,low,0,0,True,1,1.0,-1,hdbscan_noise,0.1780962128966223,0.027635619242579325,0.3298362333674514,0.4009723643807574,1.0,0.3053096212896622,2947.0,4468.0,221.37190082644628,83.63636363636364,0.0,0,2.7122740722183947,4.097884388927225,121,2026-05-24 17:00:00,2026-05-24 19:00:00
120_18891835,120,18891835,fbdae0fabcf5e7f2bab4449e4aafae15,talk,normal_low_priority,low,0,0,True,3,0.9996888340972253,1,none,0.36683725690890484,0.38331627430910953,0.2256908904810645,0.45931422722620263,0.0,0.30501535312180145,593.5,1113.0,30.90983606557377,12.647540983606556,0.0,0,3.052452416665114,5.551019720103791,122,2026-05-14 23:00:00,2026-05-15 01:01:00
161_19099027,161,19099027,19e3b97ca1bca954d1ac84cf6862e0dc,리그 오브 레전드,normal_low_priority,low,0,0,True,3,0.9998024332542702,1,none,0.35736949846468785,0.3602865916069601,0.2705987717502559,0.4201637666325486,0.0,0.3048426305015353,942.0,1349.0,34.570247933884296,19.93388429752066,0.0,0,3.3704257229954018,4.127134385045092,121,2026-05-26 15:00:00,2026-05-26 17:00:00
153_19062268,153,19062268,5af790a9d22abab8524ff7729a63cfc0,메이플스토리,normal_low_priority,low,0,0,True,3,0.9999628367785578,1,none,0.39160696008188334,0.4296315250767656,0.301560900716479,0.24437052200614123,0.0,0.3047914534288638,189.0,228.0,15.20353982300885,9.49557522123894,0.0,0,2.559439701650568,4.51085950651685,113,2026-05-24 15:00:00,2026-05-24 16:52:00
140_18997046,140,18997046,cd04c50c6ff488ac96f8900e26e5b993,던전앤파이터,normal_low_priority,low,0,0,False,3,0.9998485955332373,1,none,0.38321392016376665,0.41606960081883315,0.2766120777891504,0.3111566018423746,0.0,0.30466990788126913,1205.0,1435.0,33.289256198347104,22.0,0.0,0,3.692576315995263,5.938415326018166,121,2026-05-20 23:00:00,2026-05-21 01:00:00
154_19068082,154,19068082,e9c11510c1c6097a20b92ebcb289b26a,메이플스토리,normal_low_priority,low,0,0,True,1,0.9999996750009914,-1,hdbscan_noise,0.16294779938587514,0.015353121801432957,0.31755373592630504,0.44037871033776865,1.0,0.30459314227226203,2051.5,2559.0,181.4918032786885,100.91803278688523,0.0,0,2.4678855111371605,4.571065773981052,122,2026-05-24 17:00:00,2026-05-24 19:01:00
171_19138300,171,19138300,21e1510cc1cf976ed33fa35d48837495,메이플스토리,normal_low_priority,low,0,0,True,3,0.9999459220519462,1,none,0.4193449334698055,0.47082906857727735,0.2717502558853634,0.2226202661207779,0.0,0.30442681678607986,245.0,318.0,15.327868852459016,9.78688524590164,0.0,0,2.9548421097679523,4.863680881139592,122,2026-05-28 20:00:00,2026-05-28 22:01:00
154_19067256,154,19067256,b5ed5db484d04faf4d150aedd362f34b,talk,normal_low_priority,low,0,0,True,3,0.9986413544912287,1,none,0.32047082906857727,0.27763561924257935,0.28454452405322417,0.535568065506653,0.0,0.30387666325486185,1723.0,2352.0,59.55371900826447,29.63636363636364,0.0,0,3.521561063912031,5.970240910656355,121,2026-05-24 17:00:00,2026-05-24 19:00:00
153_19062737,153,19062737,effe648202c8f7fba081c2f2aeea1979,리그 오브 레전드,normal_low_priority,low,0,0,True,3,0.9959466925357539,-1,hdbscan_noise,0.22753326509723645,0.10491299897645855,0.12679119754350052,0.6128454452405322,1.0,0.3036655578300921,1800.0,2029.0,96.97520661157024,54.66115702479339,0.0,0,2.97836002382952,3.9939765681673953,121,2026-05-24 15:00:00,2026-05-24 17:00:00
106_18835295,106,18835295,798e100206987b59805cfb75f927e965,레이튼 교수와 악마의 상자 HD,normal_low_priority,low,0,0,False,3,0.9998786034958101,1,none,0.3926305015353122,0.4314227226202661,0.28262538382804503,0.2645854657113613,0.0,0.30283393039918116,1115.0,1217.0,32.107438016528924,20.40495867768595,0.0,0,3.727545279617726,5.636573724962751,121,2026-05-11 17:00:00,2026-05-11 19:00:00
152_19051716,152,19051716,792b7d3e64c159a6d31ff67eee018f17,데드 바이 데이라이트,normal_low_priority,low,0,0,True,3,0.9999043295090156,1,none,0.40133060388945757,0.44626407369498466,0.27072671443193447,0.25870010235414537,0.0,0.3026867963152508,450.0,512.0,23.152380952380952,13.876190476190477,0.0,0,3.2782539954464625,4.9028025892930405,105,2026-05-23 23:00:00,2026-05-24 00:44:00
115_18874092,115,18874092,affa78deac0b23d2046b8ed4856c1e62,talk,normal_low_priority,low,0,0,True,3,0.9997105838074839,1,none,0.3566018423746162,0.3577277379733879,0.24552200614124872,0.4570112589559877,0.0,0.30253966223132034,931.0,983.0,35.64462809917355,17.917355371900825,0.0,0,3.3061996530398754,6.161207321695076,121,2026-05-13 20:00:00,2026-05-13 22:00:00
36_18382263,36,18382263,1343a0e30ff0acb09f2477a698d070a4,리그 오브 레전드,normal_low_priority,low,0,0,False,3,0.9997944719949904,1,none,0.3691914022517912,0.38843398157625386,0.2771238485158649,0.34646878198567044,0.0,0.30223899692937567,1577.0,1849.0,41.17355371900826,26.553719008264466,0.0,0,3.767162372507981,5.879135362134062,121,2026-04-15 23:00:00,2026-04-16 01:00:00
