discovery_group,n_sessions,mean_hidden_score,median_hidden_score,silver_rate,viewer_med_median,chat_mean_median,zero_rate_median,gap_med_median,hdbscan_noise_rate
confirmed_suspicious,105,0.8967310644831115,0.8927712384851586,1.0,155.0,1.6166666666666667,0.4583333333333333,4.584967478670572,1.0
hidden_candidate,91,0.8800118382129641,0.8750575742067553,0.0,254.0,3.71900826446281,0.180327868852459,4.197201947661808,1.0
kmeans_only_candidate,6,0.8229177328556806,0.8512986182190379,1.0,467.5,0.920063025210084,0.6818977591036415,5.7138868387585635,1.0
normal_low_priority,1752,0.4463896430107075,0.42539982088024564,0.0,633.5,26.746403428221612,0.0,3.312538185783028,0.3498858447488584
