score_a,score_consensus,score_iforest_raw,score_lof_raw,score_logistic_oof,score_rf_oof,score_rule_directional
score_consensus,1.0,0.2832369942196532,0.15025906735751296,0.5102040816326531,0.5102040816326531,0.5205479452054794
score_iforest_raw,0.2832369942196532,1.0,0.27586206896551724,0.24719101123595505,0.24719101123595505,0.23333333333333334
score_lof_raw,0.15025906735751296,0.27586206896551724,1.0,0.08292682926829269,0.08292682926829269,0.0673076923076923
score_logistic_oof,0.5102040816326531,0.24719101123595505,0.08292682926829269,1.0,0.9646017699115044,0.7076923076923077
score_rf_oof,0.5102040816326531,0.24719101123595505,0.08292682926829269,0.9646017699115044,1.0,0.7076923076923077
score_rule_directional,0.5205479452054794,0.23333333333333334,0.0673076923076923,0.7076923076923077,0.7076923076923077,1.0
