n_components,bic,aic,silhouette
2,14123.061494618598,13727.049492503804,0.22369649187195706
3,9117.248914360955,8520.442094272463,-0.15202020966117968
4,-8934.714284889078,-9732.315922951268,-0.07367514160098178
5,-9825.55526859373,-10823.951724629616,-0.05251525550666809
6,-13944.490734296782,-15143.682008306369,0.08365898098867151
7,-16943.034450942065,-18343.02054292535,0.14937697346768244
8,-14946.54624278778,-16547.32715274476,0.15785139068052093
