session_key,run_id,broad_no,user_id,category_id,cluster_aware_review_group,score_cluster_aware_consensus,cluster_number,silver_suspicious,gmm_cluster,gmm_max_prob,hdbscan_cluster,score_rule_directional,score_gmm_cluster_aware_rule,score_hdbscan_cluster_aware_rule,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end
145_19023370,145,19023370,2ff900f58d92d9ba080dc5cd95705c1b,카운터-스트라이크 온라인,high_review,0.9990958717161379,1,1,5,1.0,-1,0.9983111566018424,0.9694736842105263,0.9959509202453989,868.0,933.0,0.0672268907563025,0.0672268907563025,0.9327731092436976,32,6.761572768804055,6.839476438228843,119,2026-05-22 15:00:00,2026-05-22 16:59:00
141_18988637,141,18988637,2ff900f58d92d9ba080dc5cd95705c1b,DNF 듀얼,high_review,0.9985670419651996,1,1,5,1.0,-1,0.9977482088024564,0.9621052631578948,0.9946012269938651,657.0,689.0,0.134453781512605,0.0756302521008403,0.9243697478991596,50,6.48768401848461,6.536691597591305,119,2026-05-21 15:00:00,2026-05-21 16:59:00
137_18988637,137,18988637,2ff900f58d92d9ba080dc5cd95705c1b,프라시아 전기,high_review,0.9977823268509042,1,1,5,1.0,-1,0.9974411463664279,0.951578947368421,0.9938650306748468,747.0,806.0,0.125,0.1166666666666666,0.8916666666666667,35,6.61405490929166,6.693323668269949,120,2026-05-20 15:00:00,2026-05-20 16:59:00
149_19046923,149,19046923,d563bf0bbf825540ba5292e837d41a2f,농구,high_review,0.9971852610030707,1,1,5,1.0,-1,0.9966734902763562,0.9400000000000001,0.9920245398773005,650.0,720.0,0.1538461538461538,0.1098901098901098,0.8901098901098901,41,6.470799503782602,6.580639137284949,91,2026-05-23 15:00:00,2026-05-23 16:30:00
44_18387423,44,18387423,4f0e2fbfad9960eee61770e144b820b3,던전앤파이터,high_review,0.9962470146707609,1,1,5,0.9999999999093188,-1,0.9959058341862846,0.9199999999999999,0.9901840490797547,1162.5,1203.0,0.2543859649122807,0.1403508771929824,0.8859649122807017,23,7.055312471116675,7.093404625868766,114,2026-04-18 20:00:00,2026-04-18 21:59:00
146_19023370,146,19023370,2ff900f58d92d9ba080dc5cd95705c1b,크레이지 아케이드 비엔비,high_review,0.9954964176049129,1,1,5,0.9999999999999956,-1,0.9951893551688842,0.9052631578947368,0.9884662576687117,785.0,822.0,0.226890756302521,0.1932773109243697,0.8739495798319328,22,6.665683717782408,6.71295620067707,119,2026-05-22 17:00:00,2026-05-22 18:59:00
138_18988637,138,18988637,2ff900f58d92d9ba080dc5cd95705c1b,일랜시아,high_review,0.99503582395087,1,1,5,1.0,-1,0.9948311156601843,0.9042105263157895,0.9876073619631901,725.0,830.0,0.1666666666666666,0.1583333333333333,0.875,19,6.579251212010101,6.7226297948554485,120,2026-05-20 17:00:00,2026-05-20 19:00:00
40_18386889,40,18386889,df434464f7e4802bee47c4b9c88331f7,던전앤파이터,high_review,0.9944387581030365,1,1,5,0.9999999999999996,-1,0.9945752302968269,0.9010526315789473,0.9869938650306749,498.0,602.0,0.1512605042016806,0.1512605042016806,0.865546218487395,27,6.198478716492308,6.396929655216146,119,2026-04-17 17:00:00,2026-04-17 18:59:00
140_18988637,140,18988637,2ff900f58d92d9ba080dc5cd95705c1b,서든어택,high_review,0.9933299215284886,1,1,5,1.0,-1,0.9943193449334699,0.891578947368421,0.9863803680981595,649.0,719.0,0.4067796610169492,0.2457627118644068,0.8559322033898306,32,6.466144724237619,6.579251212010101,118,2026-05-20 23:00:00,2026-05-21 00:59:00
135_18977929,135,18977929,ab067e483dcf6d16d4c07ea964e3b886,리그 오브 레전드,high_review,0.9921016717843739,1,1,4,0.9999999999999467,-1,0.9844933469805526,0.9797297297297298,0.9628220858895705,1726.0,2187.0,0.9306930693069309,0.6831683168316832,0.594059405940594,9,7.215239978730097,7.670428522190693,101,2026-05-19 20:00:00,2026-05-19 21:42:00
43_18386889,43,18386889,df434464f7e4802bee47c4b9c88331f7,던전앤파이터,high_review,0.9916922552030024,1,1,5,0.9999999999999793,-1,0.9929887410440124,0.8715789473684211,0.9831901840490798,501.0,518.0,0.3916666666666666,0.2,0.825,20,6.2166061010848646,6.251903883165888,120,2026-04-18 17:00:00,2026-04-18 19:00:00
