round_id,model,n_positive,n_sampled_reliable_negative,positive_score_mean,unlabeled_score_mean,reliable_negative_score_mean
0,pu_logistic,111,333,0.9994275119338195,0.13422248477216828,0.0005908127497065471
0,pu_random_forest,111,333,0.9962925191995474,0.2925012784107399,0.002211339100816406
0,pu_gradient_boosting,111,333,0.9982043949520412,0.1871437835127928,0.0006152077839778495
1,pu_logistic,111,333,0.9994449318575666,0.1399347767568775,0.0006892454999534467
1,pu_random_forest,111,333,0.996457050014621,0.2876253272418964,0.001964448226949515
1,pu_gradient_boosting,111,333,0.9981908129485513,0.23891792385704638,0.0006152077839778487
2,pu_logistic,111,333,0.9994262909576425,0.13800574734264645,0.0006501367647987673
2,pu_random_forest,111,333,0.9961779264256034,0.2793593617239132,0.002091525162238812
2,pu_gradient_boosting,111,333,0.9981892306061123,0.22719505631801035,0.0006152077839778495
3,pu_logistic,111,333,0.9994110349205191,0.13562378320523424,0.0006449223206584111
3,pu_random_forest,111,333,0.996311529074111,0.2776472435406448,0.002332555485921591
3,pu_gradient_boosting,111,333,0.9981991562314679,0.24381406610178338,0.0006152077839778495
4,pu_logistic,111,333,0.9994345854889566,0.13601775229973903,0.0005980514550069329
4,pu_random_forest,111,333,0.9962384524348051,0.2959058265174423,0.001999583773247931
4,pu_gradient_boosting,111,333,0.9982025025183766,0.1827729320222305,0.0006152077839778495
5,pu_logistic,111,333,0.9994286986822196,0.13922298064982846,0.000690284275425298
5,pu_random_forest,111,333,0.9964654652208943,0.28885599530486006,0.0019700282415533866
5,pu_gradient_boosting,111,333,0.9981930313649485,0.2361284953891356,0.0006152077839778495
6,pu_logistic,111,333,0.9994458776232157,0.1365666607486588,0.0006117588866086488
6,pu_random_forest,111,333,0.9967143659639724,0.28395989477801636,0.0019591777548124203
6,pu_gradient_boosting,111,333,0.998190982566659,0.23592575781382963,0.0006152077839778495
7,pu_logistic,111,333,0.9994464571934712,0.13710395913957413,0.0006043867263555862
7,pu_random_forest,111,333,0.9967784476855434,0.2831475187494646,0.0019378321112710195
7,pu_gradient_boosting,111,333,0.9981987279889336,0.26583538459251116,0.0006152077839778485
8,pu_logistic,111,333,0.9994423616740176,0.13650468952627517,0.0006094521764205441
8,pu_random_forest,111,333,0.9962770042012911,0.29260420402219706,0.002294318835782707
8,pu_gradient_boosting,111,333,0.9981898785918437,0.27355372711935005,0.0006152077839778481
9,pu_logistic,111,333,0.9994421850586539,0.13999932832648782,0.0006916606456932741
9,pu_random_forest,111,333,0.9964248062900593,0.29696702785518986,0.001972793273460068
9,pu_gradient_boosting,111,333,0.998193372950308,0.2767600583458318,0.0006152077839778495
10,pu_logistic,111,333,0.9994498721273603,0.13540982074841432,0.0005780120191175743
10,pu_random_forest,111,333,0.9965491008335988,0.29303241335954205,0.0018911031335645777
10,pu_gradient_boosting,111,333,0.9981962903321696,0.2346667124940974,0.0006152077839778491
11,pu_logistic,111,333,0.9994333920520797,0.1363684889050172,0.0006217621245027824
11,pu_random_forest,111,333,0.996076518455644,0.29144104939208165,0.0020402345807285288
11,pu_gradient_boosting,111,333,0.9981803880400699,0.28079424717219753,0.0006152077839778495
12,pu_logistic,111,333,0.9994366055677034,0.13624317204389344,0.0006137193659051776
12,pu_random_forest,111,333,0.9962942594002827,0.3048254810834213,0.0021645072868812032
12,pu_gradient_boosting,111,333,0.9981820535271163,0.1981627714583215,0.0006152077839778495
13,pu_logistic,111,333,0.9994179841735455,0.1352344482059179,0.0005951543937188269
13,pu_random_forest,111,333,0.9959606543672681,0.3006069317751204,0.002347323923998497
13,pu_gradient_boosting,111,333,0.9981873142306188,0.23300111606536444,0.0006152077839778487
14,pu_logistic,111,333,0.999421558856654,0.1347108841297202,0.0005933009707546418
