hdbscan_cluster,n_sessions,silver_rate,viewer_med_median,chat_mean_median,unique_mean_median,zero_rate_median,zrun_max_median,gap_med_median,gap_max_median
-1,815,0.1361963190184049,725.0,14.975,9.47107438016529,0.0327868852459016,1.0,3.768233061036648,5.598421958998375
0,356,0.0,411.5,12.326446280991735,8.074767390341162,0.0163934426229508,1.0,3.5533445980130054,6.019808281922881
1,783,0.0,643.0,30.74380165289256,18.10655737704918,0.0,0.0,3.11613385488167,4.971201224850849
