model,spearman_rank_corr,mean_abs_rank_gap,median_abs_rank_gap,top50_overlap,top50_jaccard,top50_minute_recall,top100_overlap,top100_jaccard,top100_minute_recall,top200_overlap,top200_jaccard,top200_minute_recall,top500_overlap,top500_jaccard,top500_minute_recall
07c,0.6993510139753956,343.71443193449335,282.0,5,0.05263157894736842,0.1,33,0.19760479041916168,0.33,102,0.3422818791946309,0.51,347,0.5313935681470138,0.694
07a,0.5076690775850823,434.94472876151485,346.0,7,0.07526881720430108,0.14,35,0.21212121212121213,0.35,86,0.27388535031847133,0.43,269,0.3679890560875513,0.538
07b,0.43572046156077504,470.021494370522,375.0,8,0.08695652173913043,0.16,42,0.26582278481012656,0.42,105,0.3559322033898305,0.525,281,0.3908205841446453,0.562
03,0.5688353962775721,404.49744114636644,310.0,7,0.07526881720430108,0.14,42,0.26582278481012656,0.42,113,0.39372822299651566,0.565,326,0.4836795252225519,0.652
07d,0.6684473009130124,358.15148413510747,286.0,5,0.05263157894736842,0.1,43,0.27388535031847133,0.43,104,0.35135135135135137,0.52,335,0.5037593984962406,0.67
