session_key,run_id,broad_no,minute_rank,family_consensus_score,top_interval_duration,reason_set,review_note,rank_03,flag_03,group_03,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end,rank_07a,flag_07a,group_07a,rank_07b,flag_07b,group_07b,rank_07c,flag_07c,group_07c,rank_07d,flag_07d,group_07d,flag_count,avg_session_rank,rank_gap_avg,minute_rows,chat_positive_minutes,unique_positive_minutes,chat_positive_ratio,unique_positive_ratio,max_chat_count,max_unique_chatters,viewer_range,longest_zero_run_minutes
106_18833520,106,18833520,968,0.508591925258592,13,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5086, persistence evidence rank=1125, adaptive scan family rank=1640, expected-response deficit rank=1092, minute-state mismatch rank=335, top interval duration=13min, high rolling chat deficit, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",62,True,directional_review,167.0,176.0,2.5384615384615383,2.076923076923077,0.2307692307692307,2,4.025351690735149,5.14166355650266,13,2026-05-11 17:00:00,2026-05-11 17:12:00,114,True,medium_review,128,True,medium_review,78,True,hidden_candidate,189,True,pu_hidden_candidate,5,114.2,853.8,13,10,10,0.7692307692307693,0.7692307692307693,7.0,6.0,15.0,2
114_18866678,114,18866678,925,0.5204371037704372,67,high_interval_anomaly;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5204, persistence evidence rank=678, adaptive scan family rank=1766, expected-response deficit rank=1154, minute-state mismatch rank=934, top interval duration=67min, high interval anomaly, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",91,True,directional_review,109.0,116.0,2.208955223880597,1.7014925373134329,0.208955223880597,4,3.619886582626984,4.762173934797756,67,2026-05-13 17:00:00,2026-05-13 18:06:00,82,True,high_review,150,True,medium_review,136,True,hidden_candidate,131,True,pu_hidden_candidate,5,118.0,807.0,67,53,53,0.7910447761194029,0.7910447761194029,8.0,7.0,14.0,4
146_19027695,146,19027695,903,0.524607941274608,35,high_interval_anomaly;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5246, persistence evidence rank=791, adaptive scan family rank=1784, expected-response deficit rank=1181, minute-state mismatch rank=955, top interval duration=35min, high interval anomaly, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",56,True,high_confidence_review,121.0,133.0,2.685714285714285,1.6571428571428573,0.3428571428571428,5,3.729701448634192,4.844187086458591,35,2026-05-22 17:00:00,2026-05-22 17:34:00,57,True,high_review,92,True,high_review,34,True,confirmed_suspicious,78,True,known_positive,5,63.4,839.6,35,23,23,0.6571428571428571,0.6571428571428571,11.0,7.0,23.0,5
133_18973233,133,18973233,865,0.5333667000333667,22,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5334, persistence evidence rank=965, adaptive scan family rank=1768, expected-response deficit rank=986, minute-state mismatch rank=373, top interval duration=22min, high rolling chat deficit, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",66,True,directional_review,186.5,197.0,3.0454545454545454,2.136363636363636,0.2272727272727272,2,4.140482200276686,5.2574953720277815,22,2026-05-19 15:00:00,2026-05-19 15:21:00,113,True,medium_review,141,True,medium_review,76,True,hidden_candidate,191,True,pu_hidden_candidate,5,117.4,747.6,22,17,17,0.7727272727272727,0.7727272727272727,13.0,11.0,63.0,2
165_19117018,165,19117018,1099,0.4729729729729729,36,high_interval_anomaly;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.473, persistence evidence rank=832, adaptive scan family rank=1233, expected-response deficit rank=1616, minute-state mismatch rank=1071, top interval duration=36min, high interval anomaly, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",103,False,low_priority,100.0,115.0,3.2222222222222223,2.555555555555556,0.2222222222222222,2,3.506557897319982,4.672828834461906,45,2026-05-27 15:00:00,2026-05-27 15:44:00,242,False,low_priority,140,True,medium_review,192,True,hidden_candidate,205,True,pu_watchlist,3,176.4,922.6,45,35,35,0.7777777777777778,0.7777777777777778,16.0,12.0,30.0,2
138_18992515,138,18992515,866,0.5332832832832833,64,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5333, persistence evidence rank=445, adaptive scan family rank=1686, expected-response deficit rank=1803, minute-state mismatch rank=482, top interval duration=64min, high rolling chat deficit, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",131,False,low_priority,155.0,174.0,2.78125,2.078125,0.203125,2,3.93834031374552,5.1647859739235145,64,2026-05-20 17:00:00,2026-05-20 18:03:00,142,True,medium_review,354,False,low_priority,161,True,hidden_candidate,201,True,pu_hidden_candidate,3,197.8,668.2,64,51,51,0.796875,0.796875,11.0,7.0,44.0,2
165_19115087,165,19115087,850,0.5367033700367033,12,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.5367, persistence evidence rank=1174, adaptive scan family rank=1140, expected-response deficit rank=1223, minute-state mismatch rank=481, top interval duration=12min, high rolling chat deficit, high rolling zero rate, long zero run, interval profile 보조 근거 포함.",64,True,anomaly_only_review,90.5,96.0,2.571428571428572,1.5714285714285714,0.2142857142857142,1,3.4339872044851463,4.5217885770490405,14,2026-05-27 15:00:00,2026-05-27 15:13:00,238,False,low_priority,146,True,medium_review,112,True,hidden_candidate,364,False,pu_likely_normal,3,184.8,665.2,14,11,11,0.7857142857142857,0.7857142857142857,7.0,3.0,18.0,1
